"2005-03-31",10111
"2005-06-30",10488
"2005-09-30",11516
"2005-12-31",14181
"2006-03-31",13911
"2006-06-30",15114
"2006-09-30",17205
"2006-12-31",19461
"2007-03-31",18711
"2007-06-30",21647
"2007-09-30",25347
"2007-12-31",30039
"2008-03-31",30471
"2008-06-30",31709
"2008-09-30",36171
"2008-12-31",42787
"2009-03-31",43237
"2009-06-30",48140
"2009-09-30",47501
"2009-12-31",53926
"2010-03-31",57057
"2010-06-30",64725
"2010-09-30",75183
"2010-12-31",86742
"2011-03-31",94904
"2011-06-30",106758
"2011-09-30",116371
"2011-12-31",138681
"2012-03-31",150934
"2012-06-30",162896
"2012-09-30",176064
"2012-12-31",196088
"2013-03-31",194743
"2013-06-30",199856
"2013-09-30",207000
"2013-12-31",225184
"2014-03-31",205989
"2014-06-30",222520
"2014-09-30",231839
"2014-12-31",261894
"2015-03-31",261194
"2015-06-30",273151
"2015-09-30",290345
"2015-12-31",293284
"2016-03-31",305277
"2016-06-30",305602
"2016-09-30",321686
"2016-12-31",331141
"2017-03-31",334532
"2017-06-30",345173
"2017-09-30",375319
"2017-12-31",406794
"2018-03-31",367502
"2018-06-30",349197
"2018-09-30",365725
"2018-12-31",373719
"2019-03-31",341998
"2019-06-30",322239
"2019-09-30",338516
"2019-12-31",340618
